Temperature,Tokens Used  Prompt,Tokens Used  Output,Cost per task,Accuracy  Avg,Accuracy  Total,Accuracy,Efficiency
0.3,2190127,893237,0.017289225,,17,0.34,24.03320241
0.5,2134397,865315,0.016786971,7,23,0.46,36.70621337
0.7,2119781,894417,0.017092347,5.428571429,20,0.4,29.88621889
0.9,2159729,880942,0.017050491,5.6,14,0.28,19.26654587
,,,,,,,
Sampling,,,,,,,
3,1411880,593671,0.011359692,6.333333333,14,0.28,28.91839558
5,2119781,894417,0.017092347,5.428571429,20,0.4,29.88621889
7,2847461,1157562,0.022433127,5.428571429,23,0.46,27.46768827
9,3535598,1525602,0.028914018,5.111111111,23,0.46,21.31098277
,,,,,,,
Number of evaluations,,,,,,,
1,2119056,334208,0.010367664,_,19,0.38,46.10834234
3,2119781,894417,0.017092347,_,20,0.4,29.88621889
5,2152541,1468807,0.024083307,_,24,0.48,27.15268578
,,,,,,,
CoT gpt-4o-mini with $k$ retries,,,,,,,
1,21850,14208,0.000236046,?,1,0.02,85.58800961
5,21850,76939,0.000988818,1.6,6,0.12,129.2789689
20,21850,306300,0.00374115,1.3,14,0.28,87.80831214
50,21850,751222,0.009080214,0.76,18,0.36,49.1494036
,,,,,,,
CoT gpt-5.4-mini with $k$ retries,,,,,,,
1,21800,11792,0.00138828,_,10,0.2,160.7338227
5,21800,58208,0.00556572,_,26,0.52,131.8731764
20,87200,280050,0.0265125,_,37,0.74,50.80900134
50,174400,614407,0.05791263,_,40,0.8,27.790793
